externalId,category,categoryId,name,unit,description,photo,price,priceWithoutVat,priceWithVat,packageQuantity,packageType,packageUnit,sourcePack,notes,isActive,sortOrder
rag-001,Ветошь,cat-vetosh,Ветошь рулон,рулон,"Ветошь рулон. Категория: Ветошь. Характеристики: 1.40×70м. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,13000 тг.,13000,14560.0,3,коробка,от рулонов,от 3 рулонов,1.40×70м,True,1
rag-002,Ветошь,cat-vetosh,Ветошь рулон 1.40/70м,рулон,"Ветошь рулон 1.40/70м. Категория: Ветошь. Характеристики: белая. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,13000 тг.,13000,14560.0,3,коробка,от рулонов,от 3 рулонов,белая,True,2
mat-001,Коврики,cat-kovriki,Коврик резина соты,шт,"Коврик резина соты. Категория: Коврики. Характеристики: 50×80. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,1800 тг.,1800,2016.0,30,коробка,шт,30 шт,50×80,True,3
mat-002,Коврики,cat-kovriki,Коврик соты,шт,"Коврик соты. Категория: Коврики. Характеристики: 90см / 12м. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,44000 тг.,44000,49280.0,,рулон,рулон,рулон,90см / 12м,True,4
mat-003,Коврики,cat-kovriki,Коврик полоска,шт,"Коврик полоска. Категория: Коврики. Характеристики: 45×75. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,2350 тг.,2350,2632.0,30,коробка,шт,30 шт,45×75,True,5
mat-004,Коврики,cat-kovriki,Коврик пружина,шт,"Коврик пружина. Категория: Коврики. Характеристики: 45×75. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,2500 тг.,2500,2800.0,,,,—,45×75,True,6
mat-005,Коврики,cat-kovriki,Коврик полоска,шт,"Коврик полоска. Категория: Коврики. Характеристики: 45×75 см. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,2350 тг.,2350,2632.0,30,коробка,шт,30 шт,45×75 см,True,7
mat-006,Коврики,cat-kovriki,Коврик серый,шт,"Коврик серый. Категория: Коврики. Характеристики: 40×60 см. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,700 тг.,700,784.0,30,коробка,шт,30 шт,40×60 см,True,8
mat-007,Коврики,cat-kovriki,Коврик дорожка ворс,шт,"Коврик дорожка ворс. Категория: Коврики. Характеристики: 90см / 15м. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,35000 тг.,35000,39200.0,,рулон,рулон,рулон,90см / 15м,True,9
mat-008,Коврики,cat-kovriki,Коврик резиновый соты,шт,"Коврик резиновый соты. Категория: Коврики. Характеристики: 50×80 см. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,2200 тг.,2200,2464.0,20,коробка,от шт,от 20 шт,50×80 см,True,10
mat-009,Коврики,cat-kovriki,Резиновый коврик дорожка,шт,"Резиновый коврик дорожка. Категория: Коврики. Характеристики: 90см / 15м. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,40000 тг.,40000,44800.0,,рулон,рулон,рулон,90см / 15м,True,11
mat-010,Коврики,cat-kovriki,Коврик пружина,шт,"Коврик пружина. Категория: Коврики. Характеристики: 45×75 см. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,2500 тг.,2500,2800.0,,,,—,45×75 см,True,12
mat-011,Коврики,cat-kovriki,Коврик соты,шт,"Коврик соты. Категория: Коврики. Характеристики: 90см / 12м. Подходит для оптовой закупки, склада, производства, торговли и хозяйственных задач.",,44000 тг.,44000,49280.0,,рулон,рулон,рулон,90см / 12м,True,13
